Time, Voltage
0.0000,1.9393
0.0016,1.9393
0.0032,1.9393
0.0048,1.9343
0.0064,1.9393
0.0080,1.9343
0.0096,1.9343
0.0112,1.9393
0.0128,1.9393
0.0143,1.9393
0.0159,1.9393
0.0176,1.9343
0.0192,1.9343
0.0208,1.9393
0.0224,1.9393
0.0240,1.9393
0.0256,1.9343
0.0271,1.9393
0.0287,1.9343
0.0303,1.9393
0.0319,1.9393
0.0335,1.9393
0.0351,1.9393
0.0367,1.9393
0.0383,1.9393
0.0398,1.9393
0.0414,1.9343
0.0430,1.9393
0.0446,1.9343
0.0462,1.9393
0.0478,1.9393
0.0494,1.9393
0.0509,1.9393
0.0525,1.9343
0.0541,1.9343
0.0557,1.9393
0.0573,1.9393
0.0589,1.9393
0.0605,1.9393
0.0620,1.9393
0.0636,1.9393
0.0652,1.9444
0.0668,1.9393
0.0684,1.9393
0.0700,1.9343
0.0716,1.9343
0.0732,1.9393
0.0747,1.9393
0.0763,1.9393
0.0779,1.9393
0.0795,1.9444
0.0811,1.9343
0.0827,1.9343
0.0843,1.9393
0.0859,1.9393
0.0875,1.9393
0.0890,1.9393
0.0906,1.9343
0.0922,1.9393
0.0938,1.9393
0.0954,1.9393
0.0970,1.9444
0.0986,1.9343
0.1002,1.9343
0.1018,1.9393
0.1034,1.9393
0.1049,1.9393
0.1065,1.9393
0.1081,1.9393
0.1097,1.9393
0.1113,1.9393
0.1129,1.9393
0.1145,1.9393
0.1161,1.9343
0.1177,1.9393
0.1193,1.9343
0.1208,1.9393
0.1224,1.9393
0.1240,1.9393
0.1256,1.9343
0.1272,1.9393
0.1288,1.9393
0.1304,1.9393
0.1320,1.9343
0.1336,1.9393
0.1352,1.9292
0.1367,1.9393
0.1383,1.9393
0.1399,1.9393
0.1415,1.9393
0.1431,1.9292
0.1447,1.9393
0.1463,1.9393
0.1479,1.9393
0.1495,1.9393
0.1511,1.9343
0.1526,1.9393
0.1542,1.9393
0.1558,1.9292
0.1574,1.9393
0.1590,1.9393
0.1606,1.9393
0.1622,1.9343
0.1638,1.9393
0.1654,1.9393
0.1670,1.9393
0.1685,1.9343
0.1701,1.9393
0.1717,1.9393
0.1733,1.9393
0.1749,1.9343
0.1765,1.9343
0.1781,1.9393
0.1797,1.9343
0.1813,1.9393
0.1829,1.9393
0.1844,1.9393
0.1860,1.9343
0.1876,1.9393
0.1892,1.9343
0.1908,1.9343
0.1924,1.9343
0.1940,1.9393
0.1956,1.9393
0.1972,1.9393
0.1987,1.9393
0.2003,1.9343
0.2019,1.9393
0.2035,1.9393
0.2051,1.9393
0.2067,1.9393
0.2083,1.9343
0.2099,1.9444
0.2115,1.9343
0.2131,1.9292
0.2147,1.9393
0.2162,1.9393
0.2178,1.9343
0.2194,1.9393
0.2210,1.9393
0.2226,1.9393
0.2242,1.9292
0.2258,1.9444
0.2274,1.9393
0.2290,1.9292
0.2305,1.9393
0.2321,1.9393
0.2337,1.9393
0.2353,1.9393
0.2369,1.9393
0.2385,1.9393
0.2401,1.9393
0.2417,1.9393
0.2433,1.9343
0.2449,1.9393
0.2464,1.9343
0.2480,1.9393
0.2496,1.9393
0.2512,1.9393
0.2528,1.9393
0.2544,1.9393
0.2560,1.9393
0.2576,1.9393
0.2592,1.9393
0.2607,1.9393
0.2623,1.9393
0.2639,1.9393
0.2655,1.9393
0.2671,1.9343
0.2687,1.9393
0.2703,1.9393
0.2719,1.9343
0.2734,1.9393
0.2750,1.9393
0.2766,1.9343
0.2782,1.9393
0.2798,1.9343
0.2814,1.9393
0.2830,1.9393
0.2846,1.9393
0.2862,1.9343
0.2878,1.9393
0.2893,1.9343
0.2909,1.9393
0.2925,1.9393
0.2941,1.9393
0.2957,1.9393
0.2973,1.9393
0.2989,1.9343
0.3005,1.9393
0.3021,1.9393
0.3036,1.9393
0.3052,1.9343
0.3068,1.9393
0.3084,1.9393
0.3100,1.9393
0.3116,1.9393
0.3132,1.9393
0.3148,1.9393
0.3163,1.9393
0.3179,1.9393
