Time, Voltage
0.0000,2.6685
0.0008,2.6735
0.0014,2.6685
0.0021,2.6685
0.0028,2.6735
0.0038,2.6634
0.0045,2.6685
0.0052,2.6584
0.0059,2.6685
0.0066,2.6685
0.0072,2.6735
0.0079,2.6735
0.0086,2.6685
0.0093,2.6685
0.0100,2.6685
0.0107,2.6685
0.0114,2.6685
0.0121,2.6634
0.0127,2.6735
0.0134,2.6735
0.0141,2.6735
0.0148,2.6735
0.0155,2.6735
0.0162,2.6735
0.0169,2.6735
0.0175,2.6685
0.0182,2.6634
0.0189,2.6735
0.0196,2.6685
0.0203,2.6685
0.0210,2.6735
0.0217,2.6685
0.0224,2.6735
0.0230,2.6634
0.0237,2.6685
0.0244,2.6735
0.0251,2.6634
0.0258,2.6735
0.0265,2.6685
0.0272,2.6685
0.0279,2.6735
0.0285,2.6735
0.0292,2.6685
0.0299,2.6735
0.0306,2.6735
0.0313,2.6634
0.0320,2.6634
0.0327,2.6685
0.0333,2.6685
0.0340,2.6634
0.0347,2.6685
0.0354,2.6634
0.0361,2.6634
0.0368,2.6735
0.0375,2.6735
0.0382,2.6735
0.0389,2.6685
0.0396,2.6634
0.0403,2.6735
0.0409,2.6735
0.0416,2.6685
0.0423,2.6685
0.0430,2.6685
0.0437,2.6735
0.0444,2.6685
0.0451,2.6634
0.0458,2.6735
0.0465,2.6685
0.0473,2.6735
0.0480,2.6786
0.0487,2.6685
0.0494,2.6685
0.0501,2.6735
0.0509,2.6735
0.0516,2.6735
0.0523,2.6685
0.0530,2.6735
0.0537,2.6685
0.0544,2.6685
0.0551,2.6735
0.0558,2.6735
0.0565,2.6634
0.0573,2.6634
0.0580,2.6634
0.0587,2.6735
0.0595,2.6735
0.0603,2.6735
0.0610,2.6634
0.0617,2.6685
0.0624,2.6634
0.0631,2.6735
0.0638,2.6685
0.0644,2.6634
0.0651,2.6735
0.0658,2.6735
0.0665,2.6685
0.0672,2.6735
0.0679,2.6685
0.0686,2.6685
0.0693,2.6735
0.0700,2.6735
0.0706,2.6685
0.0713,2.6634
0.0720,2.6685
0.0727,2.6685
0.0734,2.6685
0.0741,2.6685
0.0748,2.6685
0.0755,2.6735
0.0761,2.6685
0.0768,2.6685
0.0775,2.6685
0.0782,2.6735
0.0789,2.6735
0.0796,2.6685
0.0803,2.6735
0.0809,2.6634
0.0816,2.6735
0.0823,2.6735
0.0830,2.6685
0.0837,2.6786
0.0844,2.6584
0.0851,2.6634
0.0858,2.6685
0.0865,2.6685
0.0871,2.6735
0.0878,2.6685
0.0885,2.6735
0.0892,2.6634
0.0899,2.6685
0.0906,2.6685
0.0913,2.6685
0.0920,2.6735
0.0927,2.6735
0.0933,2.6634
0.0940,2.6735
0.0947,2.6685
0.0954,2.6634
0.0961,2.6685
0.0968,2.6735
0.0975,2.6634
0.0981,2.6735
0.0988,2.6685
0.0995,2.6685
0.1002,2.6634
0.1009,2.6685
0.1016,2.6735
0.1023,2.6634
0.1030,2.6685
0.1037,2.6685
0.1043,2.6685
0.1050,2.6685
0.1057,2.6634
0.1064,2.6685
0.1071,2.6685
0.1078,2.6634
0.1085,2.6685
0.1092,2.6735
0.1099,2.6685
0.1105,2.6685
0.1112,2.6735
0.1119,2.6735
0.1126,2.6634
0.1133,2.6634
0.1140,2.6685
0.1147,2.6735
0.1154,2.6735
0.1161,2.6685
0.1168,2.6685
0.1174,2.6685
0.1181,2.6735
0.1188,2.6685
0.1195,2.6634
0.1202,2.6634
0.1209,2.6735
0.1216,2.6735
0.1223,2.6634
0.1230,2.6685
0.1237,2.6685
0.1243,2.6685
0.1250,2.6634
0.1257,2.6634
