Time, Voltage
0.0000,2.4609
0.0008,2.4659
0.0014,2.4659
0.0021,2.4609
0.0028,2.4659
0.0035,2.4659
0.0042,2.4659
0.0049,2.4659
0.0056,2.4558
0.0063,2.4710
0.0069,2.4659
0.0076,2.4659
0.0083,2.4710
0.0090,2.4710
0.0097,2.4659
0.0104,2.4710
0.0111,2.4710
0.0118,2.4609
0.0125,2.4710
0.0131,2.4710
0.0138,2.4609
0.0145,2.4710
0.0152,2.4659
0.0159,2.4710
0.0166,2.4659
0.0173,2.4710
0.0179,2.4710
0.0186,2.4710
0.0193,2.4710
0.0200,2.4710
0.0207,2.4659
0.0214,2.4761
0.0221,2.4710
0.0228,2.4659
0.0234,2.4761
0.0241,2.4710
0.0248,2.4710
0.0255,2.4659
0.0262,2.4710
0.0269,2.4609
0.0276,2.4710
0.0283,2.4710
0.0289,2.4710
0.0296,2.4710
0.0303,2.4659
0.0310,2.4659
0.0317,2.4710
0.0324,2.4710
0.0331,2.4710
0.0338,2.4710
0.0344,2.4609
0.0351,2.4659
0.0358,2.4710
0.0365,2.4710
0.0372,2.4710
0.0379,2.4710
0.0386,2.4761
0.0393,2.4710
0.0400,2.4710
0.0406,2.4710
0.0413,2.4710
0.0420,2.4761
0.0427,2.4710
0.0434,2.4710
0.0441,2.4710
0.0448,2.4659
0.0455,2.4710
0.0462,2.4710
0.0469,2.4659
0.0475,2.4609
0.0482,2.4659
0.0489,2.4710
0.0496,2.4710
0.0503,2.4609
0.0510,2.4761
0.0517,2.4710
0.0524,2.4659
0.0531,2.4609
0.0538,2.4710
0.0544,2.4710
0.0551,2.4659
0.0558,2.4710
0.0565,2.4609
0.0572,2.4609
0.0579,2.4659
0.0586,2.4710
0.0593,2.4710
0.0600,2.4659
0.0607,2.4710
0.0613,2.4659
0.0620,2.4659
0.0627,2.4659
0.0634,2.4659
0.0641,2.4659
0.0648,2.4710
0.0655,2.4609
0.0662,2.4659
0.0669,2.4659
0.0675,2.4659
0.0682,2.4609
0.0689,2.4659
0.0696,2.4558
0.0703,2.4659
0.0710,2.4659
0.0717,2.4659
0.0724,2.4659
0.0731,2.4659
0.0738,2.4659
0.0744,2.4659
0.0751,2.4609
0.0758,2.4609
0.0765,2.4609
0.0772,2.4659
0.0779,2.4659
0.0786,2.4609
0.0793,2.4609
0.0800,2.4609
0.0807,2.4508
0.0813,2.4659
0.0820,2.4609
0.0827,2.4609
0.0834,2.4558
0.0841,2.4609
0.0848,2.4659
0.0855,2.4558
0.0862,2.4508
0.0869,2.4609
0.0876,2.4609
0.0882,2.4558
0.0889,2.4558
0.0896,2.4609
0.0903,2.4508
0.0910,2.4609
0.0917,2.4558
0.0924,2.4609
0.0931,2.4609
0.0937,2.4609
0.0944,2.4558
0.0951,2.4508
0.0958,2.4609
0.0965,2.4558
0.0972,2.4508
0.0979,2.4609
0.0986,2.4558
0.0993,2.4558
0.0999,2.4609
0.1006,2.4609
0.1013,2.4558
0.1020,2.4508
0.1027,2.4558
0.1034,2.4558
0.1041,2.4558
0.1048,2.4609
0.1055,2.4558
0.1062,2.4609
0.1068,2.4609
0.1075,2.4609
0.1082,2.4558
0.1089,2.4558
0.1096,2.4558
0.1103,2.4558
0.1110,2.4558
0.1117,2.4558
0.1124,2.4609
0.1131,2.4558
0.1137,2.4558
0.1144,2.4558
0.1151,2.4558
0.1158,2.4457
0.1165,2.4558
0.1172,2.4609
0.1179,2.4558
0.1186,2.4508
0.1193,2.4508
0.1200,2.4558
0.1207,2.4558
0.1213,2.4457
0.1220,2.4558
0.1227,2.4558
0.1234,2.4558
0.1241,2.4508
0.1248,2.4508
0.1255,2.4558
0.1262,2.4558
0.1269,2.4508
0.1276,2.4558
0.1282,2.4558
0.1289,2.4558
0.1296,2.4558
0.1303,2.4558
0.1310,2.4558
0.1317,2.4558
0.1324,2.4558
0.1331,2.4558
0.1338,2.4508
0.1344,2.4558
0.1351,2.4558
0.1358,2.4508
0.1365,2.4457
0.1372,2.4508
0.1379,2.4508
0.1386,2.4558
0.1393,2.4558
0.1400,2.4558
0.1407,2.4558
0.1413,2.4508
0.1420,2.4508
0.1427,2.4406
0.1434,2.4558
0.1441,2.4508
0.1448,2.4508
0.1455,2.4508
0.1462,2.4508
0.1469,2.4508
0.1476,2.4457
0.1482,2.4457
0.1489,2.4558
0.1496,2.4508
0.1503,2.4508
0.1510,2.4508
0.1517,2.4508
0.1524,2.4558
0.1531,2.4457
0.1538,2.4508
0.1545,2.4508
0.1553,2.4457
0.1561,2.4457
0.1568,2.4558
0.1575,2.4508
0.1582,2.4508
0.1590,2.4508
0.1597,2.4508
0.1603,2.4457
0.1610,2.4406
0.1617,2.4457
0.1624,2.4457
0.1632,2.4508
0.1639,2.4457
0.1646,2.4508
0.1653,2.4508
0.1661,2.4508
0.1668,2.4457
0.1675,2.4406
0.1682,2.4406
0.1689,2.4406
0.1696,2.4508
0.1703,2.4406
0.1710,2.4406
0.1717,2.4457
0.1724,2.4457
0.1731,2.4457
0.1738,2.4457
0.1745,2.4457
0.1752,2.4457
0.1758,2.4508
0.1765,2.4457
0.1772,2.4406
0.1779,2.4457
0.1786,2.4406
0.1793,2.4457
0.1800,2.4457
0.1807,2.4457
0.1813,2.4356
0.1820,2.4457
0.1827,2.4457
0.1834,2.4457
0.1841,2.4406
0.1848,2.4356
0.1855,2.4406
0.1862,2.4457
0.1868,2.4406
0.1875,2.4457
0.1882,2.4457
0.1889,2.4457
0.1896,2.4406
0.1903,2.4457
0.1910,2.4457
0.1917,2.4406
0.1924,2.4356
0.1931,2.4457
0.1937,2.4406
0.1944,2.4406
0.1951,2.4406
0.1958,2.4356
0.1965,2.4305
0.1972,2.4457
0.1979,2.4406
0.1986,2.4457
0.1992,2.4356
0.1999,2.4356
0.2006,2.4406
0.2013,2.4457
0.2020,2.4406
0.2027,2.4406
0.2034,2.4406
0.2041,2.4356
0.2047,2.4356
0.2054,2.4356
0.2061,2.4457
0.2068,2.4356
0.2075,2.4406
0.2082,2.4406
0.2089,2.4305
0.2096,2.4406
0.2103,2.4356
0.2109,2.4356
0.2116,2.4356
0.2123,2.4406
0.2130,2.4406
0.2137,2.4356
0.2144,2.4406
0.2151,2.4406
0.2158,2.4406
0.2164,2.4406
0.2171,2.4356
0.2178,2.4305
0.2185,2.4305
0.2192,2.4356
0.2199,2.4356
0.2206,2.4356
0.2213,2.4406
0.2220,2.4356
0.2227,2.4406
0.2234,2.4406
0.2240,2.4356
0.2247,2.4356
0.2254,2.4356
0.2261,2.4305
0.2268,2.4406
0.2275,2.4356
0.2282,2.4356
0.2289,2.4305
0.2296,2.4356
0.2303,2.4356
0.2309,2.4356
0.2316,2.4305
0.2323,2.4305
0.2330,2.4356
